RowID,row_info,Date,party,Location,speaker,speaker_info,Question,topic,discourse_with_names,text
1,1,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0.0,Opening,holt good evening everyone im lester holt and welcome to the first democratic debate to the race for president,good evening everyone im lester holt and welcome to the first democratic debate to the race for president
2,2,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0.0,Opening,guthrie hi im savannah guthrie and tonight its our first chance to see these candidates go head to head on stage together,hi im savannah guthrie and tonight its our first chance to see these candidates go head to head on stage together
3,3,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0.0,Opening,guthrie well be joined in our questioning time by our colleagues jose diazbalart chuck todd and rachel maddow,well be joined in our questioning time by our colleagues jose diazbalart chuck todd and rachel maddow
4,4,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0.0,Opening,holt voters are trying to nail down where the candidates stand on the issues what sets them apart and which of these presidential hopefuls has what it takes,voters are trying to nail down where the candidates stand on the issues what sets them apart and which of these presidential hopefuls has what it takes
5,5,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0.0,Opening,guthrie well now its time to find out,well now its time to find out
6,6,6/26/2019,Democrat,"Miami, Florida",ANNOUNCER,Moderator,0.0,Opening,announcer tonight round one new jersey senator cory booker former housing secretary julian castro new york city mayor bill de blasio former maryland congressman john delaney hawaii congresswoman tulsi gabbard washington governor jay inslee minnesota senator amy klobuchar former texas congressman beto orourke ohio congressman tim ryan and massachusetts senator elizabeth warren from nbc news decision the democratic candidates debate live from the adrienne arsht performing arts center in miami florida,tonight round one new jersey senator cory booker former housing secretary julian castro new york city mayor bill de blasio former maryland congressman john delaney hawaii congresswoman tulsi gabbard washington governor jay inslee minnesota senator amy klobuchar former texas congressman beto orourke ohio congressman tim ryan and massachusetts senator elizabeth warren from nbc news decision the democratic candidates debate live from the adrienne arsht performing arts center in miami florida
7,7,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0.0,Opening,holt and good evening again everyone welcome to the candidates and to our audience here in miami here in the arts center and all across the country tonight were going to take on many of the most pressing issues of the moment including immigration the situation unfolding at our border and the treatment of migrant children,and good evening again everyone welcome to the candidates and to our audience here in miami here in the arts center and all across the country tonight were going to take on many of the most pressing issues of the moment including immigration the situation unfolding at our border and the treatment of migrant children
8,8,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0.0,Opening,guthrie and were going to talk about the tensions with iran climate change and of course well talk about the economy those kitchen table issues so many americans face every day,and were going to talk about the tensions with iran climate change and of course well talk about the economy those kitchen table issues so many americans face every day
9,9,6/26/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,0.0,Opening,diazbalart and some quick rules of the road before we begin candidates qualified for this first debate well hear from tonight and more tomorrow the breakdown for each was selected at random the candidates will have seconds to answer and seconds for any followups,and some quick rules of the road before we begin candidates qualified for this first debate well hear from tonight and more tomorrow the breakdown for each was selected at random the candidates will have seconds to answer and seconds for any followups
10,10,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0.0,Opening,holt because of this large field not every person will be able to comment on every topic but over the course of the next two hours we will hear from everyone wed also like to ask the audience to keep the reactions to a minimum we are not going to be shy about making sure the candidates stick to time tonight,because of this large field not every person will be able to comment on every topic but over the course of the next two hours we will hear from everyone wed also like to ask the audience to keep the reactions to a minimum we are not going to be shy about making sure the candidates stick to time tonight
11,11,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,1.0,Economy,guthrie all right so with that business out of the way we want to get to it and well start this evening with senator elizabeth warren senator good evening to you,all right so with that business out of the way we want to get to it and well start this evening with senator elizabeth warren senator good evening to you
12,12,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,1.0,Economy,warren thank you good to be here,thank you good to be here
13,13,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,1.0,Economy,guthrie you have many plans free college free child care government health care cancellation of student debt new taxes new regulations the breakup of major corporations but this comes at a time when percent of americans say the economy is doing well including percent of democrats what do you say to those who worry this kind of significant change could be risky to the economy,you have many plans free college free child care government health care cancellation of student debt new taxes new regulations the breakup of major corporations but this comes at a time when percent of americans say the economy is doing well including percent of democrats what do you say to those who worry this kind of significant change could be risky to the economy
14,14,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,1.0,Economy,warren so i think of it this way who is this economy really working for its doing great for a thinner and thinner slice at the top its doing great for giant drug companies its just not doing great for people who are trying to get a prescription filled its doing great for people who want to invest in private prisons just not for the africanamericans and latinos whose families are torn apart whose lives are destroyed and whose communities are ruined its doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us when youve got a government when youve got an economy that does great for those with money and isnt doing great for everyone else that is corruption pure and simple we need to call it out we need to attack it head on and we need to make structural change in our government in our economy and in our country,so i think of it this way who is this economy really working for its doing great for a thinner and thinner slice at the top its doing great for giant drug companies its just not doing great for people who are trying to get a prescription filled its doing great for people who want to invest in private prisons just not for the africanamericans and latinos whose families are torn apart whose lives are destroyed and whose communities are ruined its doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us when youve got a government when youve got an economy that does great for those with money and isnt doing great for everyone else that is corruption pure and simple we need to call it out we need to attack it head on and we need to make structural change in our government in our economy and in our country
15,15,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,2.0,Klobuchar's rivals programs,guthrie senator klobuchar youve called programs like free college something you might do if you were quote a magic genie to be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of whats actually achievable,senator klobuchar youve called programs like free college something you might do if you were quote a magic genie to be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of whats actually achievable
16,16,6/26/2019,Democrat,"Miami, Florida",KLOBUCHAR,Candidate,2.0,Klobuchar's rivals programs,klobuchar well first the economy we know that not everyone is sharing in this prosperity and donald trump just sits in the white house and gloats about whats going on when you have so many people that are having trouble affording college and having trouble affording their premiums so i do get concerned about paying for college for rich kids i do but i think my plan is a good one and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education my own dad and my sister got their first degrees with community college theres many paths to success as well as certifications secondly id used pell grants id double them from to a year and expand it to the number of families that get covered to families that make up to and then the third thing i would do is make it easier for students to pay off their student loans because i can tell you this if billionaires can pay off their yachts students should be able to pay off their student loans,well first the economy we know that not everyone is sharing in this prosperity and donald trump just sits in the white house and gloats about whats going on when you have so many people that are having trouble affording college and having trouble affording their premiums so i do get concerned about paying for college for rich kids i do but i think my plan is a good one and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education my own dad and my sister got their first degrees with community college theres many paths to success as well as certifications secondly id used pell grants id double them from to a year and expand it to the number of families that get covered to families that make up to and then the third thing i would do is make it easier for students to pay off their student loans because i can tell you this if billionaires can pay off their yachts students should be able to pay off their student loans
17,17,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,2.0,Klobuchar's rivals programs,guthrie thats time thank you,thats time thank you
18,18,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Top tax rate,guthrie congressman orourke what weve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable in that vein some democrats want a marginal individual tax rate of percent on the very highest earners those making more than million a year would you support that and if not what would your top individual rate be,congressman orourke what weve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable in that vein some democrats want a marginal individual tax rate of percent on the very highest earners those making more than million a year would you support that and if not what would your top individual rate be
19,19,6/26/2019,Democrat,"Miami, Florida",OROURKE,Candidate,3.0,Top tax rate,orourke this economy has got to work for everyone and right now we know that it isnt and its going to take all of us coming together to make sure that it does speaking in spanish right now we have a system that favors those who can pay for access and outcomes thats how you explain an economy that is rigged to corporations and to the very wealthiest a trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality a new democracy that is revived because weve returned power to the people no pacs no gerrymandering automatic and sameday voter registration to bring in more voters and a new voting rights act to get rid of the barriers that are in place now,this economy has got to work for everyone and right now we know that it isnt and its going to take all of us coming together to make sure that it does speaking in spanish right now we have a system that favors those who can pay for access and outcomes thats how you explain an economy that is rigged to corporations and to the very wealthiest a trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality a new democracy that is revived because weve returned power to the people no pacs no gerrymandering automatic and sameday voter registration to bring in more voters and a new voting rights act to get rid of the barriers that are in place now
20,20,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Top tax rate,guthrie congressman orourke,congressman orourke
21,21,6/26/2019,Democrat,"Miami, Florida",OROURKE,Candidate,3.0,Top tax rate,orourke thats how we each have a voice in our democracy and make this economy work for everybody,thats how we each have a voice in our democracy and make this economy work for everybody
22,22,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Top tax rate,guthrie congressman thats time sir ill give you seconds to answer if you want to answer the direct question would you support a percent individual marginal tax rate yes no or pass,congressman thats time sir ill give you seconds to answer if you want to answer the direct question would you support a percent individual marginal tax rate yes no or pass
23,23,6/26/2019,Democrat,"Miami, Florida",OROURKE,Candidate,3.0,Top tax rate,orourke i would support a tax rate and a tax code that is fair to everyone tax capital at the same right,i would support a tax rate and a tax code that is fair to everyone tax capital at the same right
24,24,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Top tax rate,guthrie seventy percent,seventy percent
25,25,6/26/2019,Democrat,"Miami, Florida",OROURKE,Candidate,3.0,Top tax rate,orourke that you you tax ordinary income take that corporate tax rate up to percent you would generate the revenues,that you you tax ordinary income take that corporate tax rate up to percent you would generate the revenues
26,26,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Top tax rate,guthrie ok thats time,ok thats time
27,27,6/26/2019,Democrat,"Miami, Florida",OROURKE,Candidate,3.0,Top tax rate,orourke you need to pay for the programs were talking about,you need to pay for the programs were talking about
28,28,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Top tax rate,guthrie thats time thank you,thats time thank you
29,29,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4.0,breaking up of tech companies,guthrie senator booker there is a debate in this party right now about the role of corporations as you know senator warren in particular put out a plan to break up tech companies like facebook amazon and google youve said we should not quote be running around pointing at companies and breaking them up without any kind of process why do you disagree,senator booker there is a debate in this party right now about the role of corporations as you know senator warren in particular put out a plan to break up tech companies like facebook amazon and google youve said we should not quote be running around pointing at companies and breaking them up without any kind of process why do you disagree
30,30,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,4.0,breaking up of tech companies,booker i dont think i disagree i think we have a serious problem in our country with corporate consolidation and you see the evidence of that in how dignity is being stripped from labor and we have people that work fulltime jobs and still cant make a living wage we see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and you see that by just the fact that this is actually an economy thats hurting small businesses and not allowing them to compete one of the most aggressive bills in the senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector so i feel very strongly about the need to check the corporate consolidation and let the free market work and ill tell you this i live in a lowincome black and brown community i see every single day that this economy is not working for average americans the indicators that are being used from gdp to wall streets rankings is not helping people in my community it is about time that we have an economy that works for everybody not just the wealthiest in our nation,i dont think i disagree i think we have a serious problem in our country with corporate consolidation and you see the evidence of that in how dignity is being stripped from labor and we have people that work fulltime jobs and still cant make a living wage we see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and you see that by just the fact that this is actually an economy thats hurting small businesses and not allowing them to compete one of the most aggressive bills in the senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector so i feel very strongly about the need to check the corporate consolidation and let the free market work and ill tell you this i live in a lowincome black and brown community i see every single day that this economy is not working for average americans the indicators that are being used from gdp to wall streets rankings is not helping people in my community it is about time that we have an economy that works for everybody not just the wealthiest in our nation
31,31,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4.0,breaking up of tech companies,guthrie but quickly senator booker you did say that you didnt think it was right to name names to name companies and single them out as senator warren has briefly why is that,but quickly senator booker you did say that you didnt think it was right to name names to name companies and single them out as senator warren has briefly why is that
32,32,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,4.0,breaking up of tech companies,booker well again i will single out companies like halliburton or amazon that pay nothing in taxes and our need to change that and when it comes to antitrust law what i will do is number one appoint judges that will enforce it number two have a doj and a federal trade commission that will go through the processes necessary to check this kind of corporate concentration at the end of the day we have too much of a problem with corporate power growing we see that with everything from citizens united and the way theyre trying to influence washington its about time that we have a president that fights for the people in this country,well again i will single out companies like halliburton or amazon that pay nothing in taxes and our need to change that and when it comes to antitrust law what i will do is number one appoint judges that will enforce it number two have a doj and a federal trade commission that will go through the processes necessary to check this kind of corporate concentration at the end of the day we have too much of a problem with corporate power growing we see that with everything from citizens united and the way theyre trying to influence washington its about time that we have a president that fights for the people in this country
33,33,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4.0,breaking up of tech companies,guthrie thats time sir,thats time sir
34,34,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,4.0,breaking up of tech companies,booker we need to have someone thats a champion for them,we need to have someone thats a champion for them
35,35,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4.0,breaking up of tech companies,guthrie thank you senator senator warren i mentioned you are you picking winners and losers,thank you senator senator warren i mentioned you are you picking winners and losers
36,36,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,4.0,breaking up of tech companies,warren so the way i understand this its there is way too much consolidation now in giant industries in this country that hurts workers it hurts small businesses it hurts independent farmers it hurts our economy overall and it helps constrict real innovation and growth in this economy now look weve had the laws out there for a long time to be able to fight back whats been missing is courage courage in washington to take on the giants thats part of the corruption in this system it has been far too long that the monopolies have been making the campaign contributions have been funding the super pacs have been out there making sure that their influence is heard and felt in every single decision that gets made in washington where i want to start this is i want to return government to the people and that means calling out the names of the monopolists and saying i have the courage to go after them,so the way i understand this its there is way too much consolidation now in giant industries in this country that hurts workers it hurts small businesses it hurts independent farmers it hurts our economy overall and it helps constrict real innovation and growth in this economy now look weve had the laws out there for a long time to be able to fight back whats been missing is courage courage in washington to take on the giants thats part of the corruption in this system it has been far too long that the monopolies have been making the campaign contributions have been funding the super pacs have been out there making sure that their influence is heard and felt in every single decision that gets made in washington where i want to start this is i want to return government to the people and that means calling out the names of the monopolists and saying i have the courage to go after them
37,37,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4.0,breaking up of tech companies,guthrie thank you,thank you
38,38,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,5.0,Gender Pay gap,holt secretary castro the next question is for you democrats have been talking about the pay gap for decades what would you do to ensure that women are paid fairly in this country,secretary castro the next question is for you democrats have been talking about the pay gap for decades what would you do to ensure that women are paid fairly in this country
