RowID,row_info,Date,party,Location,speaker,speaker_info,Question,topic,discourse_with_names,text
897,493,6/27/2019,Democrat,"Miami, Florida",SWALWELL,Candidate,20.0,Candidates on gun control,swalwell will you buy them back,will you buy them back
187,187,6/26/2019,Democrat,"Miami, Florida",TODD,Moderator,14.0,Guns,todd and weve got a lot of ground to cover were going to be talking about guns and climate here up top a whole lot more in this hour obviously because of the size of the field not every person will be able to weigh in on everything but over the course of this next hour we will hear from everyone i promise everybody,and weve got a lot of ground to cover were going to be talking about guns and climate here up top a whole lot more in this hour obviously because of the size of the field not every person will be able to weigh in on everything but over the course of this next hour we will hear from everyone i promise everybody
873,469,6/27/2019,Democrat,"Miami, Florida",SANDERS,Candidate,20.0,Candidates on gun control,sanders no,no
814,410,6/27/2019,Democrat,"Miami, Florida",SWALWELL,Candidate,18.0,Marianne Williamson invokes John F. Kennedy,swalwell we have real new ideas,we have real new ideas
733,329,6/27/2019,Democrat,"Miami, Florida",BENNET,Candidate,14.0,Candidates on bridging the partisan divide and working with Mitch McConnell,bennet no what,no what
608,204,6/27/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,8.0,Candidates on how they would address undocumented immigrants,diazbalart a second if you could if you wish to answer should someone who is here without documents and that is his only offense should that person be deported,a second if you could if you wish to answer should someone who is here without documents and that is his only offense should that person be deported
474,70,6/27/2019,Democrat,"Miami, Florida",BUTTIGIEG,Candidate,5.0,"Rep. Swalwell and Biden on generational change, and Yang explains his economic plan",buttigieg as the youngestas the youngest guy on the stage i feel like i probably ought to contribute to the generation,as the youngestas the youngest guy on the stage i feel like i probably ought to contribute to the generation
538,134,6/27/2019,Democrat,"Miami, Florida",HARRIS,Candidate,7.0,Candidates weigh in on healthcare,harris i would like to add a point here,i would like to add a point here
851,447,6/27/2019,Democrat,"Miami, Florida",BIDEN,Candidate,19.0,Candidates on what their first issue would be if elected,biden i think youve so underestimated what barack obama did hes the first man to bring together the entire world nations to commit to deal with climate change immediately i donti dont buy that the firstthe first thing i would do is make sure that we defeat donald trump,i think youve so underestimated what barack obama did hes the first man to bring together the entire world nations to commit to deal with climate change immediately i donti dont buy that the firstthe first thing i would do is make sure that we defeat donald trump
979,575,6/27/2019,Democrat,"Miami, Florida",TODD,Moderator,23.0,Their closing statements,todd thank you senator sanders seconds to close here,thank you senator sanders seconds to close here
640,236,6/27/2019,Democrat,"Miami, Florida",BENNET,Candidate,8.0,Candidates on how they would address undocumented immigrants,bennet i think that first of all the biggestthe biggest threat to our national security right now is russia not china and second on china weve got compbecause of what theyve done with our election in china i think the presidents been right to push back on china but hes done it in completely the wrong way we should mobilize the entire rest of the world who all have a shared interest in pushing back on chinas mercantilist trade policies and i think we can do that id like to answer the other question before this as well,i think that first of all the biggestthe biggest threat to our national security right now is russia not china and second on china weve got compbecause of what theyve done with our election in china i think the presidents been right to push back on china but hes done it in completely the wrong way we should mobilize the entire rest of the world who all have a shared interest in pushing back on chinas mercantilist trade policies and i think we can do that id like to answer the other question before this as well
205,205,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,15.0,Guns,warren we need to fight for our children,we need to fight for our children
555,151,6/27/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,7.0,Candidates weigh in on healthcare,guthrie congressman thank you,congressman thank you
1,1,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0.0,Opening,holt good evening everyone im lester holt and welcome to the first democratic debate to the race for president,good evening everyone im lester holt and welcome to the first democratic debate to the race for president
347,347,6/26/2019,Democrat,"Miami, Florida",TODD,Moderator,22.0,Impeachment,todd how by the way if the answer is yes,how by the way if the answer is yes
121,121,6/26/2019,Democrat,"Miami, Florida",OROURKE,Candidate,12.0,Undocumented Immigrants,orourke speaking in spanish we would not turn back valeria and her father oscar we would accept them into this country and follow our own asylum laws we would not build walls we would not put kids in cages in fact we would spare no expense to reunite the families that have been separated already,speaking in spanish we would not turn back valeria and her father oscar we would accept them into this country and follow our own asylum laws we would not build walls we would not put kids in cages in fact we would spare no expense to reunite the families that have been separated already
779,375,6/27/2019,Democrat,"Miami, Florida",SANDERS,Candidate,16.0,Candidates on climate,sanders no absolutely not unlike the republican party we encourage diverse city we believe in diverse city that is what america is up about but in addition to diversity in terms of having more women more people from the gbllgbt community we also have to do something else and that is we have to ask ourselves a simple question and that how come to day the worker in the middle of our economy is making no more money than he or she made years ago and that in the last years the top percent has seen a trillion increase in their wealth we need a party that is diverse but we need a party that has the guts to stand up to the powerful special interest who have so much power over the economic and political life of this country,no absolutely not unlike the republican party we encourage diverse city we believe in diverse city that is what america is up about but in addition to diversity in terms of having more women more people from the gbllgbt community we also have to do something else and that is we have to ask ourselves a simple question and that how come to day the worker in the middle of our economy is making no more money than he or she made years ago and that in the last years the top percent has seen a trillion increase in their wealth we need a party that is diverse but we need a party that has the guts to stand up to the powerful special interest who have so much power over the economic and political life of this country
12,12,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,1.0,Economy,warren thank you good to be here,thank you good to be here
153,153,6/26/2019,Democrat,"Miami, Florida",KLOBUCHAR,Candidate,12.0,Undocumented Immigrants,klobuchar immigrants they do not diminish america they are america and i am happy to look at his proposal but i do think you want to make sure that you have provisions in place that allow you to go after traffickers and allow you to go after people who are violating the law what i really think we need to step back and talk about is the economic imperative here and that is that of our fortune companies are headed by people that came from other countries twentyfive percent of our us nobel laureates were born in other countries we have a situation right now where we need workers in our fields and in our factories we need them to start small businesses we need their ideas and this president has literally gone backwards at a time when our economy needs immigrants and so my proposal is to look at that bill that passed the senate with republican support to upgrade that bill to make it as good as possible and get it done it brings the doubt down by billion,immigrants they do not diminish america they are america and i am happy to look at his proposal but i do think you want to make sure that you have provisions in place that allow you to go after traffickers and allow you to go after people who are violating the law what i really think we need to step back and talk about is the economic imperative here and that is that of our fortune companies are headed by people that came from other countries twentyfive percent of our us nobel laureates were born in other countries we have a situation right now where we need workers in our fields and in our factories we need them to start small businesses we need their ideas and this president has literally gone backwards at a time when our economy needs immigrants and so my proposal is to look at that bill that passed the senate with republican support to upgrade that bill to make it as good as possible and get it done it brings the doubt down by billion
64,64,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,8.0,Healthcare,holt your time is up congressman but i do want to ask a followup on this just to be very clear ill give you seconds would you replace private insurance,your time is up congressman but i do want to ask a followup on this just to be very clear ill give you seconds would you replace private insurance
947,543,6/27/2019,Democrat,"Miami, Florida",MADDOW,Candidate,22.0,Biden on why Americans should trust his foreign policy judgment after he expressed regret for supporting the Iraq war,maddow senator sanders thank you,senator sanders thank you
786,382,6/27/2019,Democrat,"Miami, Florida",MADDOW,Candidate,17.0,On whether partisan gridlock would disappear,maddow senatorssenators i wantto give you seconds,senatorssenators i wantto give you seconds
641,237,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,8.0,Candidates on how they would address undocumented immigrants,holt youyou have the time,youyou have the time
714,310,6/27/2019,Democrat,"Miami, Florida",TODD,Moderator,13.0,Candidates comment on diversity,todd senator gillibrand i want to give you seconds on this,senator gillibrand i want to give you seconds on this
343,343,6/26/2019,Democrat,"Miami, Florida",TODD,Moderator,21.0,Biggest Geopolitical Threat,todd and mr mayor,and mr mayor
260,260,6/26/2019,Democrat,"Miami, Florida",RYAN,Candidate,18.0,Climate Change,ryan well there is a variety of different ways to pay we talked about different ways of raising revenue and i think weve got to build our way out of this and grow our way out of this but let me just talk real quick to the previous question about real politics we could talk about climate we could talk about guns we could talk about all of these issues that we all care about we have a perception problem with the democratic party we are not connecting to the working class people in the very states that i represent in ohio in the industrial midwest weve lost all connection we have got to change the center of gravity of the democratic party from being coastal and elital elitist and ivy league which is the perception to somebody from the forgotten communities that have been left behind for the last years to get those workers back on our side so we can say were going to build electric vehicles were going to build solar panels but if you want to beat mitch mcconnell this better be a workingclass party if you want to go into kentucky and take his rear end out and if you want to take lindsey graham out youve got to have a blue collar party that can go into the textile communities in south carolina so all im saying here,well there is a variety of different ways to pay we talked about different ways of raising revenue and i think weve got to build our way out of this and grow our way out of this but let me just talk real quick to the previous question about real politics we could talk about climate we could talk about guns we could talk about all of these issues that we all care about we have a perception problem with the democratic party we are not connecting to the working class people in the very states that i represent in ohio in the industrial midwest weve lost all connection we have got to change the center of gravity of the democratic party from being coastal and elital elitist and ivy league which is the perception to somebody from the forgotten communities that have been left behind for the last years to get those workers back on our side so we can say were going to build electric vehicles were going to build solar panels but if you want to beat mitch mcconnell this better be a workingclass party if you want to go into kentucky and take his rear end out and if you want to take lindsey graham out youve got to have a blue collar party that can go into the textile communities in south carolina so all im saying here
616,212,6/27/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,8.0,Candidates on how they would address undocumented immigrants,diazbalart congressman swalwell what do you do,congressman swalwell what do you do
